game,480p,720p,1080i,16x9,480p_patches,720p_patches,16:9_patches,issue_num,issue_desc,fix_num,fix_desc,Game Available,Prebuilt Patch,480p patch,16:9 patch,720p patch,720p 16:9 patch,Game Specific patches
007: Agent Under Fire,partial,n,,No,y,,?,24,"480i for shooting stages, 480p for driving stages.",18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,n,partial,n,n
007: Everything or Nothing,n,n,n (see issues),Yes,n,NA,NA,,,,,y,y,,y,y,y,n
007: From Russia with Love,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Alien Hominid,y,n,,No – 14x9,NA,,n,20,Only released in PAL format with the aspect ratio changed to 14:9.,,,y,,NA,y,y,y,n
Antz,?,,,,,,,,,,,n,y,,y,y,y,n
Auto Modellista,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Backyard Wrestling 2: There Goes the Neighborhood ,n,n,,,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,,y,y,y,n
Backyard Wrestling: Don't Try This At Home,n,n,,,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,,y,y,y,n
Baldur's Gate: Dark Alliance,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
Baldur's Gate: Dark Alliance II,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
Beat Down: Fists of Vengeance ,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,partial
Big Mutha Truckers 2,y,n,,Vert- crop,NA,,?,1,"Uses the vert- method, meaning the top and bottom of the 4:3 image are actually cropped, meaning less visible viewing area than when played in 4:3.",18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,,NA,,,,
Bionicle,n,n,,No,y,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,partial
Black,y,n,,Yes,NA,y,NA,,,22,Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs),y,,NA,y,y,y,n
Blinx: The Time Sweeper,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,Y,Y,Y,n
Blood Omen 2,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,Y,Y,Y,n
BloodRayne,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
